Hour:min:sec.msec,Value
11:29:35.312,2591.20
11:29:35.451,2591.20
11:29:35.518,2591.20
11:29:35.651,2591.20
11:29:35.732,2591.20
11:29:35.791,2591.20
11:29:35.931,2624.00
11:29:36.031,2624.00
11:29:36.158,2624.00
11:29:36.218,2624.00
11:29:36.351,2624.00
11:29:36.431,2624.00
11:29:36.491,2624.00
11:29:36.631,2624.00
11:29:36.711,2624.00
11:29:36.852,2624.00
11:29:36.918,2624.00
11:29:36.991,2624.00
11:29:37.132,2624.00
11:29:37.198,2624.00
11:29:37.331,2624.00
11:29:37.410,2624.00
11:29:37.552,2624.00
11:29:37.612,2591.20
11:29:37.758,2591.20
11:29:37.831,2591.20
11:29:37.891,2591.20
11:29:38.031,2624.00
11:29:38.111,2624.00
11:29:38.171,2624.00
11:29:38.311,2591.20
11:29:38.451,2591.20
11:29:38.535,2591.20
11:29:38.591,2591.20
11:29:38.751,2624.00
11:29:38.811,2624.00
11:29:38.951,2624.00
11:29:39.011,2624.00
11:29:39.158,2624.00
11:29:39.232,2624.00
11:29:39.291,2591.20
11:29:39.432,2591.20
11:29:39.511,2591.20
11:29:39.658,2591.20
11:29:39.712,2624.00
11:29:39.851,2624.00
11:29:39.951,2624.00
11:29:39.990,2624.00
11:29:40.138,2624.00
11:29:40.211,2624.00
11:29:40.351,2591.20
11:29:40.447,2591.20
11:29:40.551,2624.00
11:29:40.631,2624.00
11:29:40.698,2624.00
11:29:40.831,2624.00
11:29:40.918,2624.00
11:29:41.051,2591.20
11:29:41.111,2591.20
11:29:41.258,2591.20
11:29:41.338,2591.20
11:29:41.411,2591.20
11:29:41.538,2591.20
11:29:41.632,2591.20
11:29:41.758,2591.20
11:29:41.818,2591.20
11:29:41.951,2591.20
11:29:42.031,2591.20
11:29:42.111,2591.20
11:29:42.232,2591.20
11:29:42.312,2591.20
11:29:42.451,2591.20
11:29:42.511,2591.20
11:29:42.651,2591.20
11:29:42.731,2591.20
11:29:42.792,2591.20
11:29:42.932,2624.00
11:29:43.012,2624.00
11:29:43.151,2624.00
11:29:43.231,2624.00
